,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_poly__degree,param_regressor,param_regressor__alpha,param_regressor__max_depth,param_regressor__n_estimators,param_regressor__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.021194314956665038,0.0050662940892699055,0.011682605743408203,0.0016747224058173932,2,LinearRegression(),,,,,"{'poly__degree': 2, 'regressor': LinearRegression()}",-612.4402004180009,-591.1325595146715,-1128.7330828234747,-758.5013540362359,-985.6824056528599,-815.2979204890487,210.665463418269,1
8,0.023311090469360352,0.001002653004405947,0.012526607513427735,0.0022257623402466118,2,Ridge(random_state=42),0.1,,,,"{'poly__degree': 2, 'regressor': Ridge(random_state=42), 'regressor__alpha': 0.1}",-617.9186764066084,-594.956867338296,-1149.1237356616386,-786.8819346830645,-932.106164462291,-816.1974757103796,206.58945214373352,2
3,0.0481968879699707,0.007134664408197158,0.012962245941162109,0.0017823803197761197,2,"Lasso(max_iter=2000, random_state=42)",0.1,,,,"{'poly__degree': 2, 'regressor': Lasso(max_iter=2000, random_state=42), 'regressor__alpha': 0.1}",-594.3445796851494,-599.8033227659826,-1140.610375255114,-812.9132635884729,-942.0402447783861,-817.942357214621,208.38465961436447,3
2,0.06095976829528808,0.005549483228945294,0.011150360107421875,0.0019383585496402262,2,"Lasso(max_iter=2000, random_state=42)",0.01,,,,"{'poly__degree': 2, 'regressor': Lasso(max_iter=2000, random_state=42), 'regressor__alpha': 0.01}",-593.7810614977215,-599.92611559841,-1141.1088270745772,-813.4367175754201,-942.4987046176101,-818.1502852727479,208.68651304970766,4
4,0.056988525390625,0.00176884109555042,0.011498451232910156,0.0015564771896012023,2,"Lasso(max_iter=2000, random_state=42)",1.0,,,,"{'poly__degree': 2, 'regressor': Lasso(max_iter=2000, random_state=42), 'regressor__alpha': 1.0}",-603.2847942325077,-601.6852223213921,-1142.8371142253332,-817.7483709162169,-943.7113984832109,-821.8533800357321,206.95073314461382,5
6,0.10262837409973144,0.008403377098341124,0.010016965866088866,0.001952181624127736,3,"Lasso(max_iter=2000, random_state=42)",0.1,,,,"{'poly__degree': 3, 'regressor': Lasso(max_iter=2000, random_state=42), 'regressor__alpha': 0.1}",-592.8871585634397,-606.6079645005104,-1125.0003008470565,-790.7386100366322,-1007.6401166774299,-824.5748301250136,212.65088010762742,6
5,0.10893707275390625,0.0036908554679299203,0.011674213409423827,0.002007364993268404,3,"Lasso(max_iter=2000, random_state=42)",0.01,,,,"{'poly__degree': 3, 'regressor': Lasso(max_iter=2000, random_state=42), 'regressor__alpha': 0.01}",-592.2304250124917,-607.826273810649,-1125.193047585739,-795.8748492738833,-1010.4657721904019,-826.318073574633,212.93149540399443,7
7,0.09336533546447753,0.008376463948008188,0.01573214530944824,0.004031245273085745,3,"Lasso(max_iter=2000, random_state=42)",1.0,,,,"{'poly__degree': 3, 'regressor': Lasso(max_iter=2000, random_state=42), 'regressor__alpha': 1.0}",-591.9675172079642,-597.8827528714501,-1134.0451603724007,-796.0793593930217,-1011.8720708564978,-826.3693721402667,217.78130844867994,8
11,0.027072334289550783,0.006380390774124672,0.012717628479003906,0.0029621394026302307,3,Ridge(random_state=42),0.1,,,,"{'poly__degree': 3, 'regressor': Ridge(random_state=42), 'regressor__alpha': 0.1}",-659.2189037598324,-587.4251588463793,-1169.4194740310736,-851.8995596969618,-982.445361109365,-850.0816914887224,212.09296212683375,9
1,0.029044723510742186,0.004141177701676182,0.013272285461425781,0.0013140126306087306,3,LinearRegression(),,,,,"{'poly__degree': 3, 'regressor': LinearRegression()}",-630.3721717239494,-637.3086935727891,-1145.0421591113873,-964.0630611436706,-904.3576615553815,-856.2287494214355,198.13884077915478,10
9,0.022765159606933594,0.0020750266759999953,0.012068653106689453,0.0027377552871068957,2,Ridge(random_state=42),1.0,,,,"{'poly__degree': 2, 'regressor': Ridge(random_state=42), 'regressor__alpha': 1.0}",-732.9212392878799,-654.983379241224,-1181.1898854313683,-834.5361252698284,-962.9147688060252,-873.3090796072651,185.30945430258026,11
12,0.02347598075866699,0.001489161182357834,0.009601497650146484,0.001615003301390293,3,Ridge(random_state=42),1.0,,,,"{'poly__degree': 3, 'regressor': Ridge(random_state=42), 'regressor__alpha': 1.0}",-898.5420993261178,-668.7814242067,-1190.833953474731,-797.7880777667815,-1071.9951231191897,-925.5881355787039,186.97827669086217,12
13,0.021636486053466797,0.002440221068554638,0.010281515121459962,0.0017374811517544843,3,Ridge(random_state=42),10.0,,,,"{'poly__degree': 3, 'regressor': Ridge(random_state=42), 'regressor__alpha': 10.0}",-1600.1701452898085,-856.5629713299668,-1445.2211786484595,-983.2747605313274,-1178.1741754715238,-1212.6806462542172,277.43855766374134,13
10,0.023199796676635742,0.0030667133998397104,0.012492799758911132,0.002598974073180454,2,Ridge(random_state=42),10.0,,,,"{'poly__degree': 2, 'regressor': Ridge(random_state=42), 'regressor__alpha': 10.0}",-1806.900652214111,-886.2139957367726,-1698.4228114338596,-1274.3208262139713,-1388.670139256083,-1410.9056849709596,326.78106554013107,14
