,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor,param_regressor__alpha,param_regressor__max_depth,param_regressor__n_estimators,param_regressor__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.02520155906677246,0.006066634249302802,0.020383358001708984,0.00644675665125028,LinearRegression(),,,,,{'regressor': LinearRegression()},-585.8844581964803,-609.5325874983944,-1139.2063823508452,-794.6620274477427,-898.5773698608845,-805.5725650708694,203.3592853482389,1
2,0.0432187557220459,0.0073474247045837,0.015755653381347656,0.0035609142389186835,"Lasso(max_iter=2000, random_state=42)",0.1,,,,"{'regressor': Lasso(max_iter=2000, random_state=42), 'regressor__alpha': 0.1}",-586.074104649326,-609.5202419137752,-1143.5851079997515,-794.665192932906,-898.5971578517756,-806.4883610695068,204.76177325732687,2
1,0.04896564483642578,0.007311043554632876,0.020988321304321288,0.004157219672498563,"Lasso(max_iter=2000, random_state=42)",0.01,,,,"{'regressor': Lasso(max_iter=2000, random_state=42), 'regressor__alpha': 0.01}",-585.9805843199531,-609.555825155768,-1144.20416929164,-794.6681638950821,-898.5929759154756,-806.6003437155838,204.9785280794928,3
3,0.042512035369873045,0.006815532132679257,0.014763069152832032,0.0028098535377457435,"Lasso(max_iter=2000, random_state=42)",1.0,,,,"{'regressor': Lasso(max_iter=2000, random_state=42), 'regressor__alpha': 1.0}",-587.47484393719,-608.94051286622,-1144.1331995056125,-794.3356077177142,-898.5893235923429,-806.6946975238159,204.75652555020602,4
4,0.02891573905944824,0.0028844567262473497,0.01284961700439453,0.005064726127034065,Ridge(random_state=42),0.1,,,,"{'regressor': Ridge(random_state=42), 'regressor__alpha': 0.1}",-596.929932969531,-607.5643133396666,-1130.5310507748445,-803.4088542351363,-904.7440762718262,-808.6356455182009,199.06269921015863,5
5,0.03165292739868164,0.010664473290996034,0.014018964767456055,0.003401654298487095,Ridge(random_state=42),1.0,,,,"{'regressor': Ridge(random_state=42), 'regressor__alpha': 1.0}",-722.9217407430584,-674.7840670290574,-1279.6523818317264,-917.9205317265461,-1069.8560506958304,-933.0269544052437,223.57691393561194,6
6,0.025914096832275392,0.0045529142861516795,0.016077852249145506,0.002003095753190748,Ridge(random_state=42),10.0,,,,"{'regressor': Ridge(random_state=42), 'regressor__alpha': 10.0}",-1054.6744584319138,-935.2934997264168,-1600.30808193996,-1229.3941272227094,-1463.708500462932,-1256.6757335567866,247.29783615963547,7
58,2.662939500808716,0.19907911107316137,0.014782905578613281,0.0007935781655783196,GradientBoostingRegressor(random_state=42),,,500.0,0.1,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.1, 'regressor__n_estimators': 500}",-5522.477505795596,-935.8751391696499,-1519.1674322450892,-1179.9907369956645,-1216.8418041213258,-2074.870523665465,1733.7320110733435,8
59,4.897323083877564,0.2674673338978879,0.015865278244018555,0.002383769954657094,GradientBoostingRegressor(random_state=42),,,1000.0,0.1,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.1, 'regressor__n_estimators': 1000}",-5500.464585522155,-934.6950047704509,-1522.0695300024593,-1190.385630004391,-1235.2239188536648,-2076.567733830624,1722.0679065928289,9
57,2.077631187438965,0.4201508469906156,0.020193147659301757,0.008579641337825527,GradientBoostingRegressor(random_state=42),,,250.0,0.1,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.1, 'regressor__n_estimators': 250}",-5575.847351811688,-930.7030405299168,-1523.4646951044879,-1188.1144957094261,-1216.6172846027207,-2086.9493735516476,1754.5490446754538,10
52,5.607164621353149,0.4923162738484459,0.017243051528930665,0.003300410995528496,GradientBoostingRegressor(random_state=42),,,1000.0,0.01,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.01, 'regressor__n_estimators': 1000}",-5763.259279401253,-944.0469871993631,-1483.6459639938198,-1160.0584140423198,-1247.199575864256,-2119.6420441002024,1829.9955143420398,11
56,0.7497493267059326,0.0401751248056375,0.014791727066040039,0.004293093069804661,GradientBoostingRegressor(random_state=42),,,100.0,0.1,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.1, 'regressor__n_estimators': 100}",-5793.250304787974,-927.981850229299,-1521.3593406477305,-1237.30906403832,-1260.145201575241,-2148.0091522557127,1832.300014178355,12
38,9.51348524093628,0.27416776790237796,0.36760883331298827,0.05153453233605736,RandomForestRegressor(random_state=42),,10.0,1000.0,,"{'regressor': RandomForestRegressor(random_state=42), 'regressor__max_depth': 10, 'regressor__n_estimators': 1000}",-6098.314741681918,-1007.8101755752798,-1411.485488334811,-1100.2303567729546,-1234.4471412749901,-2170.4575807279907,1968.6214138963624,13
