,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_regressor,param_regressor__alpha,param_regressor__max_depth,param_regressor__n_estimators,param_regressor__learning_rate,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
6,0.014539480209350586,0.002417059150546965,0.011299037933349609,0.003218090561743513,Ridge(random_state=42),10.0,,,,"{'regressor': Ridge(random_state=42), 'regressor__alpha': 10.0}",-585.8844608261603,-609.532586447845,-1139.2063789154704,-794.6620290477903,-898.577370058377,-805.5725650591287,203.3592838562917,1
5,0.014046907424926758,0.0023462467712022997,0.011216163635253906,0.00118221088529708,Ridge(random_state=42),1.0,,,,"{'regressor': Ridge(random_state=42), 'regressor__alpha': 1.0}",-585.8844584594564,-609.5325873933472,-1139.2063820073688,-794.6620276077599,-898.57736988063,-805.5725650697125,203.3592851990605,2
4,0.01624884605407715,0.004310510591551965,0.012215948104858399,0.0024934424451061106,Ridge(random_state=42),0.1,,,,"{'regressor': Ridge(random_state=42), 'regressor__alpha': 0.1}",-585.8844582228014,-609.5325874878954,-1139.2063823165636,-794.6620274637478,-898.5773698628583,-805.5725650707733,203.35928533333643,3
0,0.01579251289367676,0.003543246958195568,0.012687921524047852,0.0032386037842751987,LinearRegression(),,,,,{'regressor': LinearRegression()},-585.8844582016852,-609.5325874258743,-1139.2063824214952,-794.662027439753,-898.5773699228249,-805.5725650823266,203.35928539002947,4
3,0.03241991996765137,0.008124389619241926,0.012228012084960938,0.0030491878558815745,"Lasso(max_iter=2000, random_state=42)",1.0,,,,"{'regressor': Lasso(max_iter=2000, random_state=42), 'regressor__alpha': 1.0}",-585.9356754040326,-609.5755407374054,-1144.2741298181543,-794.6448558311946,-898.5936970836487,-806.6047797748872,205.0077878064849,5
2,0.03849105834960938,0.00824453445358236,0.017467451095581055,0.0031594341845912308,"Lasso(max_iter=2000, random_state=42)",0.1,,,,"{'regressor': Lasso(max_iter=2000, random_state=42), 'regressor__alpha': 0.1}",-585.9354638172456,-609.5756295292377,-1144.2743851416328,-794.6447410194924,-898.5936989592251,-806.6047836933668,205.00790190624508,6
1,0.04150094985961914,0.0068832147916410395,0.016314935684204102,0.0024080772177627156,"Lasso(max_iter=2000, random_state=42)",0.01,,,,"{'regressor': Lasso(max_iter=2000, random_state=42), 'regressor__alpha': 0.01}",-585.935442658711,-609.5756384085142,-1144.2744106742316,-794.6447295384407,-898.5936991470031,-806.6047840853801,205.00791331627667,7
58,2.578874444961548,0.061599475126830804,0.012808942794799804,0.00040461701175602353,GradientBoostingRegressor(random_state=42),,,500.0,0.1,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.1, 'regressor__n_estimators': 500}",-5522.477505795596,-935.8751391696499,-1519.1674322450892,-1179.9907369956645,-1216.8418041213258,-2074.870523665465,1733.7320110733435,8
59,5.16372127532959,0.09392391299009245,0.015913105010986327,0.00019069394626425535,GradientBoostingRegressor(random_state=42),,,1000.0,0.1,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.1, 'regressor__n_estimators': 1000}",-5500.464585522155,-934.6950047704509,-1522.0695300024593,-1190.385630004391,-1235.2239188536648,-2076.567733830624,1722.0679065928289,9
57,1.305563735961914,0.012759161181974147,0.013218879699707031,0.0014579240708390124,GradientBoostingRegressor(random_state=42),,,250.0,0.1,"{'regressor': GradientBoostingRegressor(random_state=42), 'regressor__learning_rate': 0.1, 'regressor__n_estimators': 250}",-5575.847351811688,-930.7030405299168,-1523.4646951044879,-1188.1144957094261,-1216.6172846027207,-2086.9493735516476,1754.5490446754538,10
